timestamp,event,case_id
2025-06-17T02:27:26.214410,risk_assessment_completed,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:26.214525,risks_identified,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:28.833612,materiality_assessment_completed,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:28.833708,material_risks_exist,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:30.096686,evaluate_adaptation_techniques,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:34.078757,adaptation_plan_uploaded: lieferantenConcentration.pdf,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:34.078851,create_suitable_adaptation_plan,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:34.078879,conduct_crva,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:37.003296,validated_climate_projection_sources_chosen,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:37.003304,climate_projection_source: IPCC,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:39.495364,lifespan_years: 16,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:39.495401,long_term_projections_applied,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:39.495417,crva_report_generated,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:39.495430,climate_adaptation_alignment_completed,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560408,kpi_plan_uploaded: lieferantenConcentration.pdf,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560492,upload_adaptation_plan,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560520,check_adaptation_plan,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560542,create_kpi,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560563,monitor_kpi,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:43.560584,adaptation_successful,1a161d99-9278-4409-94b5-b1a50d1e1012
2025-06-17T02:27:45.233390,end,1a161d99-9278-4409-94b5-b1a50d1e1012
